Rank,Country,Int$,Year
138,Laos,"5,000",2014 est.
139,Nauru,"5,000",2005 est.
140,State of Palestine,"4,900",2012 est.
141,Myanmar,"4,800",2014 est.
142,Moldova,"4,800",2014 est.
143,Nicaragua,"4,800",2014 est.
144,Honduras,"4,700",2014 est.
145,Pakistan,"4,700",2014 est.
146,Sudan,"4,500",2014 est.
147,Ghana,"4,200",2014 est.
148,Zambia,"4,100",2014 est.
149,Yemen,"3,900",2014 est.
-,Wallis and Futuna,"3,800",2004 est.
150,Bangladesh,"3,400",2014 est.
151,Kyrgyzstan,"3,400",2014 est.
152,Mauritania,"3,400",2014 est.
153,Cambodia,"3,300",2014 est.
154,Micronesia,"3,200",2014 est.
155,Marshall Islands,"3,200",2014 est.
156,Tuvalu,"3,200",2014 est.
157,Kenya,"3,100",2014 est.
158,SÃƒÂ£o TomÃƒÂ© and PrÃƒÂ­ncipe,"3,100",2014 est.
159,Cameroon,"3,000",2014 est.
160,Djibouti,"3,000",2014 est.
161,CÃƒÂ´te d'Ivoire,"2,900",2014 est.
162,Lesotho,"2,900",2014 est.
163,Tajikistan,"2,700",2014 est.
164,Chad,"2,600",2014 est.
165,Vanuatu,"2,500",2014 est.
-,Western Sahara,"2,500",2007 est.
166,Nepal,"2,400",2014 est.
167,Papua New Guinea,"2,400",2014 est.
168,Senegal,"2,300",2014 est.
169,Sierra Leone,"2,100",2014 est.
170,Afghanistan,"2,000",2014 est.
171,South Sudan,"2,000",2014 est.
172,Zimbabwe,"2,000",2014 est.
173,Tanzania,"1,900",2014 est.
174,Benin,"1,900",2014 est.
175,Solomon Islands,"1,800",2014 est.
176,Haiti,"1,800",2014 est.
177,North Korea,"1,800",2013 est.
178,Uganda,"1,800",2014 est.
179,The Gambia,"1,700",2014 est.
180,Rwanda,"1,700",2014 est.
181,Burkina Faso,"1,700",2014 est.
182,Comoros,"1,700",2014 est.
183,Kiribati,"1,600",2014 est.
184,Mali,"1,600",2014 est.
185,Togo,"1,500",2014 est.
186,Ethiopia,"1,500",2014 est.
187,Madagascar,"1,400",2014 est.
188,Guinea-Bissau,"1,400",2014 est.
189,Guinea,"1,300",2014 est.
190,Eritrea,"1,200",2014 est.
191,Mozambique,"1,100",2014 est.
192,Niger,"1,000",2014 est.
-,Tokelau,"1,000",1993 est.
193,Liberia,900,2014 est.
194,Burundi,900,2014 est.
195,Malawi,800,2014 est.
196,Democratic Republic of the Congo,700,2014 est.
197,Somalia,600,2010 est.
198,Central African Republic,600,2014 est.
